;N°;Date;Artiste;Titre;Nombre de semaines n°1;Commentaires
361;362;16/06/2017;Indochine;La vie est belle;1;- Entré directement no 1
362;363;08/09/2017;Calvin Harris feat. Pharrell Williams & Katy Perry & Big Sean;Feels;2;
363;364;22/09/2017;Alice Merton;No Roots;2;
364;365;06/10/2017;Naughty Boy feat. Beyoncé & Arrow Benjamin;Runnin' (Lose It All);1;
365;366;13/10/2017;Kalash feat. Damso;Mwaka Moon;1;- Entré directement no 1
366;367;20/10/2017,17/11/2017;Ofenbach vs Nick Waterhouse;Katchi;4 (3 et 1);
367;368;10/11/2017,24/11/2017,22/12/2017;Ed Sheeran;Perfect;8 (1, 2 et 5);- Deuxième no 1 extrait d'un même album (÷)
368;369;08/12/2017;Johnny Hallyday;Je te promets;2;- Single sorti en 1987- Bond de la 130e à la 1re place
369;370;26/01/2018,27/04/2018;Mylène Farmer;Rolling Stone;2 (1 et 1);
370;371;02/02/2018;Sena Kana;Truth or Dare;1;- Entré directement no 1
371;372;09/02/2018;Mylène Farmer;Libertine;1;- Single sorti en 1986 - Entré directement no 1- Record de longévité entre l'entrée du titre dans le top et son accession à la première place (1986-2018)
372;373;16/02/2018;Indochine;Un été français;1;- Entré directement no 1- Deuxième no 1 extrait d'un même album (13)
373;374;23/02/2018;Grand Corps Malade;Dimanche soir;2;- Entré directement no 1
374;375;09/03/2018;Tom Walker;Leave a Light On;1;
375;376;16/03/2018,04/05/2018;Maître Gims & Vianney;La Même;9 (6 et 3);- Nouveau record du plus grand bond : de la 144e à la 1re place- Meilleure vente de 2018
376;377;25/05/2018,06/07/2018,27/07/2018;Naestro feat. Maître Gims & Vitaa & Dadju & Slimane;Bella ciao;8 (4, 2 et 2);- Entré directement no 1- Artiste s'auto-détrônant (Maître Gims)
377;378;22/06/2018;Indochine;Station 13;1;- Entré directement no 1- Troisième no 1 extrait d'un même album (13)
378;379;29/06/2018,17/08/2018;Mylène Farmer & LP;N'oublie pas;3 (1 et 2);- Entré directement no 1- Deuxième no 1 extrait d'un même album (Désobéissance)- Troisième single no 1 dans le top en l'espace de six mois pour une même artiste (Mylène Farmer)
379;380;20/07/2018;Hermes House Band;I Will Survive (La la la);1;- Single sorti en 1994
380;381;10/08/2018;Maroon 5 feat. Cardi B;Girls Like You;1;
381;382;31/08/2018;Jain;Alright;2;
382;383;14/09/2018;Vegedream;Ramenez la coupe à la maison;3;
383;384;05/10/2018,02/11/2018,04/01/2019;Lady Gaga & Bradley Cooper;Shallow;22 (3, 7 et 12);- Égalisation du record de longévité au no 1- Record du plus grand nombre de semaines passées dans le top 10 (46)- Meilleure vente de 2019
384;385;26/10/2018;Johnny Hallyday;J'en parlerai au diable;1;- Entré directement no 1
385;386;21/12/2018;Redbone;Come and Get Your Love;2;- Single sorti en 1974
386;387;29/03/2019;PNL;Au DD;2;- Entré directement no 1
387;388;12/04/2019;Lady Gaga;Always Remember Us This Way;2;- Deuxième no 1 extrait d'un même album (A Star Is Born (Bande originale du film))
388;389;26/04/2019,24/05/2019,28/06/2019;Angèle;Balance ton quoi;5 (2, 2 et 1);
389;390;10/05/2019;Mylène Farmer;Désobéissance;1;- Entré directement no 1- Troisième no 1 extrait d'un même album (Désobéissance)
390;391;17/05/2019;Ed Sheeran & Justin Bieber;I Don't Care;1;- Entré directement no 1
391;392;07/06/2019;PNL;MOWGLI II;1;- Entré directement no 1
392;393;14/06/2019;Mylène Farmer;Des larmes;1;- Entré directement no 1- Quatrième no 1 extrait d'un même album (Désobéissance)- Troisième album dont tous les singles ont été classés no 1 - 10e no 1 dans le top dans les années 2010 pour Mylène Farmer
393;394;21/06/2019;Indochine;Karma Girls;1;- Quatrième no 1 extrait d'un même album (13)
394;395;05/07/2019;Stardust;Music Sounds Better with You;1;- Single sorti en 1998- Entré directement no 1
395;396;12/07/2019,02/08/2019;Lil Nas X;Old Town Road;3 (2 et 1);
396;397;26/07/2019,09/08/2019;Shawn Mendes & Camila Cabello;Señorita;6 (1 et 5);
397;398;13/09/2019;Tones and I;Dance Monkey;14;
398;399;20/12/2019,13/03/2020,22/05/2020;The Weeknd;Blinding Lights;13 (10, 2 et 1);
399;400;28/02/2020;BTS feat. Sia;On;1;- Entré directement no 1
400;401;06/03/2020;Lady Gaga;Stupid Love;1;- Entré directement no 1
401;402;27/03/2020;Calogero;On fait comme si;2;- Entré directement no 1
402;403;10/04/2020;Florent Pagny & Pascal Obispo & Marc Lavoine;Pour les gens du secours;1;- Entré directement no 1
403;404;17/04/2020;Et demain ? Le Collectif;Et demain ?;1;
404;405;24/04/2020;Christophe;Les mots bleus;1;- Single sorti en 1974- Entré directement no 1
405;406;01/05/2020;The Rolling Stones;Living in a Ghost Town;1;
406;407;08/05/2020;Idir;A Vava Inouva;1;- Single sorti en 1976- Entré directement no 1
407;408;15/05/2020;Ariana Grande & Justin Bieber;Stuck with U;1;- Entré directement no 1
408;409;29/05/2020;Indochine;Nos célébrations;3;- Entré directement no 1
409;410;19/06/2020;Kendji Girac;Habibi;1;
410;411;26/06/2020;Grand Corps Malade & Camille Lellouche;Mais je t'aime;3;- Entré directement no 1
411;412;17/07/2020,04/09/2020,23/10/2020,04/12/2020,01/01/2021;Master KG feat. Burna Boy & Nomcebo Zikode;Jerusalema (remix);19 (6, 6, 5, 1 et 1);
412;413;28/08/2020;BTS;Dynamite;1;- Entré directement no 1
413;414;16/10/2020;Johnny Hallyday;Deux sortes d'hommes / Nashville Blues (Live);1;- Entré directement no 1
414;415;27/11/2020;BTS;Life Goes On;1;- Entré directement no 1- Deuxième no 1 extrait d'un même album (Be)
415;416;11/12/2020;Mylène Farmer;L'Âme dans l'eau;1;- 21e no 1 dans le top pour Mylène Farmer (Record du Top)
416;417;18/12/2020;Johnny Hallyday;Le Cœur en deux (Live);1;- Entré directement no 1
417;418;25/12/2020,08/01/2021;Dua Lipa feat. Angèle;Fever;4 (1 et 3);
418;1;13/01/2017;Ed Sheeran;Shape of You;15;- Record de longévité au no 1 du classement- Meilleur score de 2017
419;2;28/04/2017;Luis Fonsi feat. Daddy Yankee;Despacito;13;
420;3;28/07/2017;Niska;Réseaux;11;
421;4;13/10/2017;Kalash feat. Damso;Mwaka Moon;8;- Entré directement no 1
422;5;08/12/2017;Booba;Petite fille;1;- Entré directement no 1
423;6;15/12/2017;Johnny Hallyday;Je te promets;1;- Single sorti en 1987
424;7;22/12/2017;Ed Sheeran;Perfect;4;- Deuxième no 1 extrait d'un même album (÷)
425;8;19/01/2018;Camila Cabello feat. Young Thug;Havana;2;
426;9;02/02/2018;Vald;Désaccordé;7;
427;10;23/03/2018,06/04/2018;Lartiste feat. Caroliina;Mafiosa;5 (1 et 4);
428;11;30/03/2018;Maître Gims & Vianney;La Même;1;
429;12;04/05/2018;Damso;Ipséité;1;- Entré directement no 1
430;13;11/05/2018;Aya Nakamura;Djadja;2;
431;14;25/05/2018;Dosseh;Habitué;4;
432;15;22/06/2018;Damso;Smog;1;- Deuxième no 1 extrait d'un même album (Lithopédion)
433;16;29/06/2018;PNL;À l'ammoniaque;3;- Entré directement no 1
434;17;20/07/2018;Jul;Toto et Ninetta;1;
435;18;27/07/2018,14/09/2018;Vegedream;Ramenez la coupe à la maison;5 (1 et 4);- Bond de la 48e à la 1re place
436;19;03/08/2018,07/09/2018;Rim'K feat. Ninho;Air Max;3 (2 et 1);- Nouveau record du plus grand bond : de la 149e à la 1re place
437;20;17/08/2018;PNL;91's;3;- Entré directement no 1- Deuxième no 1 extrait d'un même album (Deux frères)
438;21;12/10/2018,16/11/2018;Dadju;Jaloux;5 (4 et 1);- Entré directement no 1
439;22;09/11/2018;Aya Nakamura;Copines;1;- Deuxième no 1 extrait d'un même album (Nakamura)
440;23;23/11/2018;Orelsan feat. Damso;Rêves bizarres;2;
441;24;07/12/2018,21/12/2018;Maes feat. Booba;Madrina;2 (1 et 1);
442;25;14/12/2018;Lomepal;Trop beau;1;- Entré directement no 1
443;26;28/12/2018;Mariah Carey;All I Want for Christmas Is You;1;- Single sorti en 1994
444;27;04/01/2019;Angèle feat. Roméo Elvis;Tout oublier;2;
445;28;18/01/2019;Bramsito feat. Booba;Sale mood;1;
446;29;25/01/2019;Eva feat. Lartiste;On Fleek;1;
447;30;01/02/2019;Booba;PGP;1;- Entré directement no 1- Troisième titre no 1 dans le top en l'espace de deux mois pour un même artiste (Booba)
448;31;08/02/2019;Heuss l'Enfoiré feat. Sofiane;Khapta;3;
449;32;01/03/2019;Ninho;Goutte d'eau;4;- Entré directement no 1
450;33;29/03/2019;PNL;Au DD;7;- Entré directement no 1- Troisième no 1 extrait d'un même album (Deux frères)
451;34;17/05/2019;Niska feat. Booba;Médicament;1;
452;35;24/05/2019;Booba;Arc-en-ciel;1;- Entré directement no 1- Artiste s'auto-détrônant (Booba)- Cinquième titre no 1 dans le top en l'espace de six mois pour un même artiste (Booba)
453;36;31/05/2019,28/06/2019,09/08/2019;Lil Nas X;Old Town Road;8 (2, 5 et 1);
454;37;14/06/2019;Nekfeu feat. Damso;Tricheur;2;- Entré directement no 1
455;38;02/08/2019;DJ Snake & J. Balvin & Tyga;Loco Contigo;1;
456;39;16/08/2019;Moha La Squale;Ma belle;4;
457;40;13/09/2019;Niska feat. Ninho;Méchant;1;- Entré directement no 1
458;41;20/09/2019;PLK;Un peu de haine;1;- Entré directement no 1
459;42;27/09/2019;Gambi;Hé oh;2;
460;43;11/10/2019;Gambi;Popopop;5;- Entré directement no 1- Artiste s'auto-détrônant
461;44;15/11/2019;Tones and I;Dance Monkey;2;
462;45;29/11/2019,14/02/2020;Gradur feat. Heuss l'Enfoiré;Ne reviens pas;9 (8 et 1);- Entré directement no 1
463;46;24/01/2020;Gambi feat. Heuss l'Enfoiré;Dans l'espace;3;- Entré directement no 1- Artiste s'auto-détrônant (Heuss l'Enfoiré)
464;47;21/02/2020,24/04/2020;The Weeknd;Blinding Lights;4 (1 et 3);
465;48;28/02/2020;Naps feat. Ninho;6.3;2;- Entré directement no 1
466;49;13/03/2020;Ninho;Lettre à une femme;6;- Entré directement no 1- Artiste s'auto-détrônant (Ninho)
467;50;15/05/2020;Booba feat. Zed;Jauné;2;- Entré directement no 1
468;51;29/05/2020;Hatik;Angela;2;
469;52;12/06/2020;Bosh;Djomb;5;
470;53;17/07/2020;Dadju & Ninho;Grand bain;1;
471;54;24/07/2020;Aya Nakamura;Jolie Nana;4;- Entré directement no 1
472;55;21/08/2020;SCH & Kofs & Jul & Naps & Soso Maness & Elams & Solda & Houari;Bande organisée;12;- Entré directement no 1
473;56;13/11/2020;Booba;5G;1;- Entré directement no 1
474;57;20/11/2020;Aya Nakamura feat. Stormzy;Plus jamais;1;- Entré directement no 1- Deuxième no 1 extrait d'un même album (Aya)
475;58;27/11/2020;Zola feat. SCH;9 1 1 3;1;- Entré directement no 1
476;59;04/12/2020;Dinos feat. Nekfeu;Moins un;1;- Entré directement no 1
477;60;11/12/2020,08/01/2021,19/02/2021;Dua Lipa feat. Angèle;Fever;6 (1, 3 et 2);
478;61;18/12/2020;Jul & SCH;Mother fuck;3;- Entré directement no 1
479;62;29/01/2021;Booba;Ratpi World;2;- Entré directement no 1
480;63;12/02/2021;SCH;Marché noir;1;- Entré directement no 1
481;64;05/03/2021;Tayc;Le Temps;1;- Entré directement no 1
482;65;12/03/2021;Booba;Mona Lisa;2;- Entré directement no 1
483;66;26/03/2021;SCH feat. Freeze Corleone;Mannschaft;2;- Entré directement no 1
484;67;02/04/2021;Moha K;Vroum Vroum;1;- Entré directement no 1
485;68;09/04/2021;Lil Nas X;Montero (Call Me by Your Name);3;
486;69;30/04/2021,14/05/2021,23/07/2021;Naps;La Kiffance;10 (1, 4 et 5);
487;70;07/05/2021;Damso;Σ. Morose;1;
488;71;11/06/2021;Soso Maness;Petrouchka;6;- Entré directement no 1
489;72;27/08/2021;Oboy;TDB;5;
490;1;18/06/2005;Crazy Frog;Axel F;4;
491;2;16/07/2005;James Blunt;You're Beautiful;8;
492;3;10/09/2005;DHT feat. Edmée;Listen to Your Heart;2;
493;4;24/09/2005;Raphael;Caravane;1;
494;5;01/10/2005;Crazy Frog;Popcorn;1;- Deuxième no 1 extrait d'un même album (Crazy Frog Presents Crazy Hits)
495;6;08/10/2005;Bob Sinclar feat. Gary Pine;Love Generation;1;
496;7;15/10/2005;Robbie Williams;Tripping;2;
497;8;29/10/2005;Madonna;Hung Up;16;- Record de longévité au no 1 du classement- Meilleure vente de 2006
498;9;12/02/2006;Zucchero & Maná;Baila morena;6;
499;10;01/04/2006;Les Enfoirés;Le Temps qui court;3;
500;11;22/04/2006;Rihanna;SOS;1;
501;12;29/04/2006;Shakira feat. Wyclef Jean;Hips Don't Lie;8;- Entré directement no 1
502;13;24/06/2006,19/09/2006;Gnarls Barkley;Crazy;10 (9 et 1);
503;14;26/08/2006,23/09/2006;Bob Sinclar & Cutee B feat. Dollarman & Big Ali & Makedah;Rock This Party (Everybody Dance Now);4 (3 et 1);- Deuxième no 1 extrait d'un même album (Western Dream)
504;15;30/09/2006;Moby & Mylène Farmer;Slipping Away (Crier la vie);1;- Entré directement no 1
505;16;07/10/2006;Faudel;Mon pays;3;
506;17;28/10/2006;Cascada;Everytime We Touch;3;
507;18;18/11/2006;Fatal Bazooka;Fous ta cagoule;9;
508;19;20/01/2007;Vitaa;À fleur de toi;2;- Entré directement no 1
509;20;03/02/2007;Calogero;Le saut de l'ange;1;
510;21;10/02/2007;Fatal Bazooka feat. Vitoo;Mauvaise foi nocturne (La réponse);2;- Deuxième no 1 extrait d'un même album (T'as vu ?)
511;22;24/02/2007,05/05/2007,07/07/2007,21/07/2007;Mika;Relax, Take It Easy;14 (8, 4, 1 et 1);- Meilleure vente de 2007
512;23;21/04/2007,02/06/2007,14/07/2007;Christophe Willem;Double je;8 (2, 5 et 1);
513;24;28/07/2007, 11/08/2007;David Guetta & Chris Willis;Love Is Gone (Fred Rister & Joachim Garraud remix);2 (1 et 1);
514;25;04/08/2007;Mika;Love Today;1;- Deuxième no 1 extrait d'un même album (Life in Cartoon Motion)
515;26;18/08/2007;Julien Doré;Moi... Lolita;3;- Entré directement no 1
516;27;08/09/2007;Koxie;Garçon;2;
517;28;22/09/2007;Rihanna;Don't Stop the Music;12;
518;29;15/12/2007;Yael Naim;New Soul;14;
519;30;22/03/2008;Jeff Buckley;Hallelujah;1;- Single sorti en 1994
520;31;29/03/2008,19/04/2008;Madonna & Justin Timberlake feat. Timbaland;4 Minutes;5 (1 et 4);
521;32;05/04/2008;Duffy;Mercy;2;
522;33;17/05/2008,28/06/2008,12/07/2008;Estelle feat. Kanye West;American Boy;10 (5, 1 et 4);
523;34;21/06/2008;Mylène Farmer;Dégénération;1;- Entré directement no 1
524;35;05/07/2008;Quentin Mosimann;Cherchez le garçon;1;- Entré directement no 1
525;36;09/08/2008,23/08/2008,04/10/2008;Madcon;Beggin';8 (1, 5 et 2);
526;37;16/08/2008;Katy Perry;I Kissed a Girl;1;
527;38;27/09/2008,25/10/2008;Grégoire;Toi + Moi;6 (1 et 5);- Meilleure vente de 2008
528;39;18/10/2008;Guru Josh Project;Infinity 2008 (Klaas remix);1;
529;40;29/11/2008;Britney Spears;Womanizer;4;
530;41;27/12/2008;Jason Mraz;I'm Yours;3;
531;42;18/01/2009;Mikelangelo Loconte;Tatoue-moi;1;
532;43;25/01/2009;The Pussycat Dolls;I Hate This Part;2;
533;44;08/02/2009;Lady Gaga;Poker Face;3;
534;45;01/03/2009;Pep's;Liberta;1;
535;46;08/03/2009;Les Enfoirés;Ici les Enfoirés;4;
536;47;05/04/2009;Helmut Fritz;Ça m'énerve;10;- Meilleure vente de 2009
537;48;14/06/2009;The Black Eyed Peas;Boom Boom Pow;2;
538;49;28/06/2009;Michael Jackson;Billie Jean;2;- Entré directement no 1- Single sorti en 1983
539;50;12/07/2009;Pitbull;I Know You Want Me (Calle Ocho);4;
540;51;09/08/2009;Tom Frager & Gwayav';Lady Melody;2;
541;52;23/08/2009;David Guetta feat. Akon;Sexy Bitch;10;
542;53;01/11/2009;Jena Lee;J'aimerais tellement;3;
543;54;22/11/2009;Edward Maya & Vika Jigulina;Stereo Love;8;
544;55;17/01/2009;Ke$ha;Tik Tok;6;
545;56;28/02/2010,25/04/2010;Stromae;Alors on danse;8 (7 et 1);
546;57;18/04/2010,02/05/2010;Sexion d'assaut;Désolé;8 (1 et 7);
547;58;20/06/2010,29/08/2010,26/09/2010;Shakira feat. Freshlyground;Waka Waka (This Time for Africa);10 (8, 1 et 1);- Meilleure vente de 2010
548;59;15/08/2010;René la Taupe;Mignon, Mignon;2;
549;60;05/09/2010;Yolanda Be Cool & DCUP;We No Speak Americano;1;
550;61;12/09/2010;Eminem feat. Rihanna;Love the Way You Lie;2;
551;62;03/10/2010;Rihanna;Only Girl (In the World);2;
552;63;17/10/2010;Mylène Farmer;Oui mais... non;1;
553;64;24/10/2010;Shakira feat. Dizzee Rascal / El Cata;Loca;4;- Deuxième no 1 extrait d'un même album (Sale el sol)
554;65;21/11/2010;The Black Eyed Peas;The Time (Dirty Bit);7;
555;66;09/01/2011;Israel Kamakawiwoʻole;Over the Rainbow;3;- Single sorti en 1993
556;1;07/09/2014;Lilly Wood and the Prick & Robin Schulz;Prayer in C (Robin Schulz remix);5;
557;2;12/10/2014;Tove Lo;Habits (Stay High);5;
558;3;16/11/2014;David Guetta feat. Sam Martin;Dangerous;7;
559;4;04/01/2015;Mark Ronson feat. Bruno Mars;Uptown Funk;6;
560;5;15/02/2015;Hozier;Take Me to Church;1;
561;6;22/02/2015;The Weeknd;Earned It;2;
562;7;08/03/2015;Louane;Avenir;3;
563;8;29/03/2015;OMI;Cheerleader (Felix Jaehn remix);2;
564;9;12/04/2015;Major Lazer & DJ Snake feat. MØ;Lean On;20;- Record de longévité au no 1 du classement- Meilleur score de 2015
565;10;30/08/2015;Nicky Jam & Enrique Iglesias;El perdón;8;
566;11;25/10/2015,08/11/2015,20/12/2015;Maître Gims feat. Niska;Sapés comme jamais;7 (1, 4 et 2);
567;12;01/11/2015;Adele;Hello;1;
568;13;06/12/2015;Jul;En Y;1;- Entré directement no 1
569;14;13/12/2015,08/01/2016;Jul;Amnésia;4 (1 et 3);- Artiste s'auto-détrônant- Deuxième no 1 extrait d'un même album (My World)
570;15;29/01/2016;Yall feat. Gabriela Richardson;Hundred Miles;3;
571;16;19/02/2016;Rihanna feat. Drake;Work;4;
572;17;18/03/2016;Alan Walker feat. Iselin Solheim;Faded;5;
573;18;22/04/2016;Sia feat. Sean Paul;Cheap Thrills;1;- Meilleur score de 2016
574;19;29/04/2016;Drake feat. Wizkid & Kyla;One Dance;18;
575;20;02/09/2016;DJ Snake feat. Justin Bieber;Let Me Love You;3;
576;21;23/09/2016;PNL;Naha;1;- Entré directement no 1
577;22;30/09/2016;Jul;Tchikita;5;- Bond de la 60e à la 1re place
578;23;04/11/2016;Booba;DKR;2;
579;24;18/11/2016;PNL;Onizuka;2;- Deuxième no 1 extrait d'un même album (Dans la légende)
580;25;02/12/2016;The Weeknd feat. Daft Punk;Starboy;1;
581;26;09/12/2016;Nekfeu;Squa;2;- Entré directement no 1
582;27;23/12/2016;Nekfeu;Mauvaise Graine;3;- Artiste d'auto-détrônant- Deuxième no 1 extrait d'un même album (Cyborg)
