;Date;Artiste;Titre;Audio
28;29/10/1988;Paco;Amor de mis amores;https://p.scdn.co/mp3-preview/02ef3dd5c384ccdaa6348b373081a62984cf2835?cid=4d3bffd173c84f21ab47981ba6cd15f8
29;22/04/1989;Boney M;Megamix;https://p.scdn.co/mp3-preview/945213ef98634cb80d2c85123339095a1fcc652f?cid=4d3bffd173c84f21ab47981ba6cd15f8
30;03/06/1989;Avalanche;Johnny, Johnny Come Home;https://p.scdn.co/mp3-preview/524f8baf5fa50f9125e5078fcaf6dfa24be646a2?cid=4d3bffd173c84f21ab47981ba6cd15f8
31;29/07/1989;Kaoma;Lambada;https://p.scdn.co/mp3-preview/9f1e031aec82989d81e197f5059875b65e3a8139?cid=4d3bffd173c84f21ab47981ba6cd15f8
32;21/10/1989;Philippe Lafontaine;Cœur de loup;https://p.scdn.co/mp3-preview/1722fcc39ce71649ac2bc6f06aaaaab6f166fd57?cid=4d3bffd173c84f21ab47981ba6cd15f8
33;04/11/1989;Jive Bunny and the Mastermixers;Swing The Mood;https://p.scdn.co/mp3-preview/25f27c56054f889e5bb61f36f4a369a777104c72?cid=4d3bffd173c84f21ab47981ba6cd15f8
34;09/12/1989,24/02/1990;Roch Voisine;Hélène;https://p.scdn.co/mp3-preview/2fb36402c758c20cc17caa240e1ec78d05ac412e?cid=4d3bffd173c84f21ab47981ba6cd15f8
35;24/03/1990;Les Vagabonds;Le Temps des yéyés;https://p.scdn.co/mp3-preview/b5ccb11199c9b1a484429cd73c30b25975b2e9a1?cid=4d3bffd173c84f21ab47981ba6cd15f8
36;16/06/1990;Lagaf';Bo le lavabo (WC Kiss);https://p.scdn.co/mp3-preview/434575888d1cd11c26fac69bc171276a06edb075?cid=4d3bffd173c84f21ab47981ba6cd15f8
37;23/06/1990,22/09/1990;Zouk Machine;Maldòn (La musique dans la peau);https://p.scdn.co/mp3-preview/ec866950b6f322745204a486645d185e27afb25d?cid=4d3bffd173c84f21ab47981ba6cd15f8
38;11/08/1990;Charles D. Lewis;Soca Dance;https://p.scdn.co/mp3-preview/f3095b7c6a7cc6040e0d4c6f2bda9364f3c565ce?cid=4d3bffd173c84f21ab47981ba6cd15f8
39;06/10/1990;Félix Gray & Didier Barbelivien;À toutes les filles...;https://p.scdn.co/mp3-preview/d723cd79440c88625d881e68579900ae71439591?cid=4d3bffd173c84f21ab47981ba6cd15f8
40;10/11/1990;Mecano;Une femme avec une femme;https://p.scdn.co/mp3-preview/2b95df514dc26c057dd876b33ae7600e0b487370?cid=4d3bffd173c84f21ab47981ba6cd15f8
41;19/01/1991;Félix Gray & Didier Barbelivien;Il faut laisser le temps au temps;https://p.scdn.co/mp3-preview/34b723008cfe176c20a582f1b277dd7873a181ee?cid=4d3bffd173c84f21ab47981ba6cd15f8
42;29/06/1991,27/07/1991;Les Inconnus;Auteuil, Neuilly, Passy (Rap B.C.B.G.);https://p.scdn.co/mp3-preview/b254fd094e9d84b6ad8a28a7aa464d6bea22bb7a?cid=4d3bffd173c84f21ab47981ba6cd15f8
43;20/07/1991,03/08/1991;Lagaf';La Zoubida;https://p.scdn.co/mp3-preview/83a3202106f86fb678aeeb8e8fb30aa356ee91fe?cid=4d3bffd173c84f21ab47981ba6cd15f8
44;07/12/1991,15/02/1992;Patrick Bruel;Qui a le droit... (Live);https://p.scdn.co/mp3-preview/613f0479cd51ae0b40e01cfab64df07a72139a10?cid=4d3bffd173c84f21ab47981ba6cd15f8
45;18/01/1992,08/02/1992;Jean-Philippe Audin & Diego Modena;Song of Ocarina;https://p.scdn.co/mp3-preview/0abb20735a9eb5e557e3a3754c5dc04a23ecfba7?cid=4d3bffd173c84f21ab47981ba6cd15f8
46;25/01/1992;Michael Jackson;Black or White;https://p.scdn.co/mp3-preview/563eb405b53bb155973d815009ce476708b1724f?cid=4d3bffd173c84f21ab47981ba6cd15f8
47;22/02/1992;George Michael & Elton John;Don't Let the Sun Go Down on Me;https://p.scdn.co/mp3-preview/e64bb3e1d9ab34e4d791dd5131c2a203eb05b674?cid=4d3bffd173c84f21ab47981ba6cd15f8
48;11/04/1992;Ten Sharp;You;https://p.scdn.co/mp3-preview/f5415199db25f3190885f37386b28325593d0052?cid=4d3bffd173c84f21ab47981ba6cd15f8
49;05/09/1992;Snap!;Rhythm Is a Dancer;https://p.scdn.co/mp3-preview/b06ed9ed66669e87a211b8f19bb87be2be2d311b?cid=4d3bffd173c84f21ab47981ba6cd15f8
50;17/10/1992;Jordy;Dur dur d'être bébé !;https://p.scdn.co/mp3-preview/1c463328a5c2c44bef408f74120f435f71ac074a?cid=4d3bffd173c84f21ab47981ba6cd15f8
51;30/01/1993;Whitney Houston;I Will Always Love You;https://p.scdn.co/mp3-preview/db431eff82899d9af76c9156d66d29aa951c21d8?cid=4d3bffd173c84f21ab47981ba6cd15f8
52;27/03/1993;Jordy;Alison (C'est ma copine à moi);https://p.scdn.co/mp3-preview/fcbeba286f10636d93925b5633024b971a86d995?cid=4d3bffd173c84f21ab47981ba6cd15f8
53;01/05/1993,10/07/1993;2 Unlimited;No Limit;https://p.scdn.co/mp3-preview/7d458b23edadcb46d7086b89b90df69acc46fec0?cid=4d3bffd173c84f21ab47981ba6cd15f8
54;17/07/1993;Haddaway;What Is Love;https://p.scdn.co/mp3-preview/05d04eb0f90feea806394d62453f61ae752d0b62?cid=4d3bffd173c84f21ab47981ba6cd15f8
55;21/08/1993,25/09/1993;Les G.O. Cul-Ture;Darla dirladada;https://p.scdn.co/mp3-preview/44ca306ed3b52e5b0f2db42ba5b66014830a8008?cid=4d3bffd173c84f21ab47981ba6cd15f8
56;18/09/1993,23/10/1993;Regg'Lyss;Mets de l’huile;https://p.scdn.co/mp3-preview/09fa4dafdfe01764c215472e9623c638a05ea31f?cid=4d3bffd173c84f21ab47981ba6cd15f8
57;05/02/1994,19/02/1994;Ace of Base;Happy Nation;https://p.scdn.co/mp3-preview/cb305ced36ceac1cae575c03f7d371f5dc030002?cid=4d3bffd173c84f21ab47981ba6cd15f8
58;12/02/1994;Alain Souchon;Foule sentimentale;https://p.scdn.co/mp3-preview/8de86861b43512362a32d9e5afb72ae98a9a6a14?cid=4d3bffd173c84f21ab47981ba6cd15f8
59;12/03/1994,21/05/1994,11/06/1994;IAM;Je danse le mia;https://p.scdn.co/mp3-preview/43e1eee0326466a823d2450ff20a127f7993db7e?cid=4d3bffd173c84f21ab47981ba6cd15f8
60;16/04/1994,14/05/1994,04/06/1994;Bruce Springsteen;Streets of Philadelphia;https://p.scdn.co/mp3-preview/015884640241cacd2456e0e0bc34fe2ed9f5f98b?cid=4d3bffd173c84f21ab47981ba6cd15f8
